Data,Categoria,Moeda,Quantidade,Saldo
2021-03-27 01:04:50,Diferença de preço em ordem executada,BRL,0.00220797,0.01946859
2021-03-27 01:04:51,Criação de ordem,BRL,-357.75942331,0.01726062
2021-03-27 01:04:50,Execução de ordem,BRL,357.75942332,357.77668393
2021-03-27 01:03:18,Criação de ordem,BRL,-390.77675845,0.01726061
2021-03-27 01:03:17,Execução de ordem,BRL,390.77675846,390.79401906
2021-03-27 01:02:28,Diferença de preço em ordem executada,BRL,0.00194387,0.01726060
2021-03-27 01:02:29,Criação de ordem,BRL,-1995.31227784,0.01531673
2021-03-27 01:02:28,Execução de ordem,BRL,1995.31227787,1995.32759457
2021-03-27 01:02:01,Diferença de preço em ordem executada,BRL,0.00208123,0.01531670
2021-03-27 01:02:01,Criação de ordem,BRL,-506.58061083,0.01323547
2021-03-27 01:02:00,Execução de ordem,BRL,506.58061083,506.59384630
2021-03-27 01:01:24,Criação de ordem,BRL,-2029.45320929,0.01323547
2021-03-27 01:01:24,Execução de ordem,BRL,2029.45320933,2029.46644476
2021-03-27 01:00:43,Criação de ordem,BRL,-229.16141730,0.01323543
2021-03-27 01:00:42,Execução de ordem,BRL,229.16141731,229.17465273
2021-03-26 12:14:02,Diferença de preço em ordem executada,BRL,0.00000029,0.01323542
2021-03-26 12:14:02,Criação de ordem,BRL,-255.87253709,0.01323513
2021-03-26 12:14:02,Execução de ordem,BRL,255.87253710,255.88577222
2021-03-26 12:12:49,Diferença de preço em ordem executada,BRL,0.00000073,0.01323512
2021-03-26 12:12:50,Criação de ordem,BRL,-2724.38476697,0.01323439
2021-03-26 12:12:49,Execução de ordem,BRL,2724.38476697,2724.39800136
2021-03-26 00:15:11,Diferença de preço em ordem executada,BRL,0.00006029,0.01323439
2021-03-26 00:15:12,Criação de ordem,BRL,-6481.45914371,0.01317410
2021-03-26 00:15:11,Execução de ordem,BRL,6481.45914371,6481.47231781
2021-03-26 00:14:34,Diferença de preço em ordem executada,BRL,0.00000035,0.01317410
2021-03-26 00:14:35,Criação de ordem,BRL,-2160.44731472,0.01317375
2021-03-26 00:14:34,Execução de ordem,BRL,2160.44731473,2160.46048847
2021-03-24 00:28:06,Diferença de preço em ordem executada,BRL,0.00237935,0.01317374
2021-03-24 00:28:06,Criação de ordem,BRL,-2376.71678006,0.01079439
2021-03-24 00:28:05,Execução de ordem,BRL,2376.71678007,2376.72757445
2021-03-19 00:12:52,Diferença de preço em ordem executada,BRL,0.00262769,0.01079438
2021-03-19 00:12:52,Criação de ordem,BRL,-180.02000000,0.00816669
2021-03-19 00:08:31,Depósito,BRL,180.02000000,180.02816669
2021-03-17 19:48:33,Diferença de preço em ordem executada,BRL,0.00000189,0.00816669
2021-03-17 19:48:34,Criação de ordem,BRL,-80.00000000,0.00816480
2021-03-17 19:48:11,Depósito,BRL,80.00000000,80.00816480
2021-03-16 13:36:28,Diferença de preço em ordem executada,BRL,0.00000002,0.00816480
2021-03-16 13:36:28,Criação de ordem,BRL,-526.95112789,0.00816478
2021-03-16 13:36:28,Execução de ordem,BRL,526.95112789,526.95929267
2021-03-16 08:26:27,Diferença de preço em ordem executada,BRL,0.00248540,0.00816478
2021-03-16 08:26:28,Criação de ordem,BRL,-462.50000000,0.00567938
2021-03-16 08:25:53,Criação de ordem,BRL,-462.50000000,462.50567938
2021-03-16 08:24:15,Diferença de preço em ordem executada,BRL,0.00000033,925.00567938
2021-03-16 08:24:15,Criação de ordem,BRL,-575.00000000,925.00567905
2021-03-16 08:21:52,Depósito,BRL,1500.00000000,1500.00567905
2021-03-15 15:57:11,Diferença de preço em ordem executada,BRL,0.00000083,0.00567905
2021-03-15 15:57:11,Criação de ordem,BRL,-419.77000000,0.00567822
2021-03-15 15:56:36,Diferença de preço em ordem executada,BRL,0.00000002,419.77567822
2021-03-15 15:56:36,Criação de ordem,BRL,-419.77000000,419.77567820
2021-03-15 15:55:39,Depósito,BRL,839.54000000,839.54567820
2021-03-12 22:11:14,Diferença de preço em ordem executada,BRL,0.00000002,0.00567820
2021-03-12 22:11:15,Criação de ordem,BRL,-1515.08350351,0.00567818
2021-03-12 22:11:14,Execução de ordem,BRL,1515.08350351,1515.08918169
2021-03-12 09:27:38,Criação de ordem,BRL,-2191.06581573,0.00567818
2021-03-12 09:27:37,Execução de ordem,BRL,2191.06581574,2191.07149391
2021-03-09 09:06:22,Criação de ordem,BRL,-362.00502709,0.00567817
2021-03-09 09:06:21,Execução de ordem,BRL,362.00502709,362.01070526
2021-03-08 15:53:52,Criação de ordem,BRL,-1275.09033835,0.00567817
2021-03-08 15:53:51,Execução de ordem,BRL,1275.09033837,1275.09601652
2021-03-08 08:12:10,Criação de ordem,BRL,-1500.00000000,0.00567815
2021-03-08 08:09:15,Diferença de preço em ordem executada,BRL,0.00001089,1500.00567815
2021-03-08 08:09:15,Criação de ordem,BRL,-1500.00000000,1500.00566726
2021-03-08 08:08:38,Diferença de preço em ordem executada,BRL,0.00002156,3000.00566726
2021-03-08 08:08:39,Criação de ordem,BRL,-2000.00000000,3000.00564570
2021-03-08 08:07:09,Diferença de preço em ordem executada,BRL,0.00000137,5000.00564570
2021-03-08 08:07:10,Criação de ordem,BRL,-3000.00000000,5000.00564433
2021-03-08 08:06:29,Depósito,BRL,8000.00000000,8000.00564433
2021-02-26 09:45:18,Diferença de preço em ordem executada,BRL,0.00000003,0.00564433
2021-02-26 09:45:18,Criação de ordem,BRL,-400.00000000,0.00564430
2021-02-26 09:44:43,Diferença de preço em ordem executada,BRL,0.00041259,400.00564430
2021-02-26 09:44:43,Criação de ordem,BRL,-1250.00000000,400.00523171
2021-02-26 08:35:52,Depósito,BRL,1650.00000000,1650.00523171
2021-02-23 09:38:09,Diferença de preço em ordem executada,BRL,0.00163139,0.00523171
2021-02-23 09:38:10,Criação de ordem,BRL,-300.65611139,0.00360032
2021-02-23 09:38:09,Execução de ordem,BRL,300.65611139,300.65971171
2021-02-15 08:37:19,Diferença de preço em ordem executada,BRL,0.00000105,0.00360032
2021-02-15 08:37:19,Criação de ordem,BRL,-522.98000000,0.00359927
2021-02-15 08:34:34,Saque/Retirada,BRL,-1350.00000000,522.98359927
2021-02-15 08:32:49,Execução de ordem,BRL,1872.97810971,1872.98359927
2021-02-13 15:47:13,Diferença de preço em ordem executada,BRL,0.00000026,0.00548956
2021-02-13 15:47:13,Criação de ordem,BRL,-326.00000000,0.00548930
2021-02-13 15:45:22,Depósito,BRL,326.00000000,326.00548930
2021-02-12 20:06:47,Diferença de preço em ordem executada,BRL,0.00020013,0.00548930
2021-02-12 20:06:47,Criação de ordem,BRL,-278.78000000,0.00528917
2021-02-12 19:50:16,Depósito,BRL,278.78000000,278.78528917
2021-02-12 08:08:11,Diferença de preço em ordem executada,BRL,0.00005302,0.00528917
2021-02-12 08:08:11,Criação de ordem,BRL,-237.03000000,0.00523615
2021-02-12 00:50:23,Depósito,BRL,237.03000000,237.03523615
2021-02-03 12:43:31,Diferença de preço em ordem executada,BRL,0.00001423,0.00523615
2021-02-03 12:43:32,Criação de ordem,BRL,-400.00000000,0.00522192
2021-02-03 12:40:32,Depósito,BRL,400.00000000,400.00522192
2021-01-29 08:06:53,Diferença de preço em ordem executada,BRL,0.00000003,0.00522192
2021-01-29 08:06:53,Criação de ordem,BRL,-286.00000000,0.00522189
2021-01-29 08:05:27,Depósito,BRL,286.00000000,286.00522189
2021-01-24 16:25:16,Diferença de preço em ordem executada,BRL,0.00007509,0.00522189
2021-01-24 16:25:16,Criação de ordem,BRL,-100.00000000,0.00514680
2021-01-24 16:10:21,Depósito,BRL,100.00000000,100.00514680
2021-01-24 15:59:15,Diferença de preço em ordem executada,BRL,0.00016416,0.00514680
2021-01-24 15:59:15,Criação de ordem,BRL,-100.00000000,0.00498264
2021-01-24 15:40:23,Depósito,BRL,100.00000000,100.00498264
2021-01-22 20:04:16,Diferença de preço em ordem executada,BRL,0.00024085,0.00498264
2021-01-22 20:04:17,Criação de ordem,BRL,-245.00000000,0.00474179
2021-01-22 19:55:28,Depósito,BRL,245.00000000,245.00474179
2021-01-11 22:43:46,Diferença de preço em ordem executada,BRL,0.00000047,0.00474179
2021-01-11 22:43:47,Criação de ordem,BRL,-100.00000000,0.00474132
2021-01-11 22:40:31,Depósito,BRL,100.00000000,100.00474132
